archivo_original,pagina_pdf,producto,modelo,variante,funcion,decision,motivo,nuevo_nombre,ruta_final,object_position,observaciones
p06_n063,6,BH-327,BH-327,Rosa,variante,conservar,Variante Rosa,bh-327-rosa.webp,assets/images/products/bh-327/bh-327-rosa.webp,50% 50%,
p06_n064,6,BH-327,BH-327,Amarillo,variante,conservar,Variante Amarillo,bh-327-amarillo.webp,assets/images/products/bh-327/bh-327-amarillo.webp,50% 50%,
p06_n061 (recorte),6,BH-327,BH-327,,detalle,conservar,Vista abierta,bh-327-abierta.webp,assets/images/products/bh-327/bh-327-abierta.webp,50% 50%,
p06_n061 (recorte),6,BH-327,BH-327,,detalle,no publicada,Plegado compacto,bh-327-plegada.webp,,50% 50%,"Buena imagen, excluida por el limite de 5 fotografias por galeria"
p06_n065,6,BH-327,BH-327,,detalle,no publicada,Cojin incluido,bh-327-cojin.webp,,50% 50%,"Buena imagen, excluida por el limite de 5 fotografias por galeria"
p06_n066 / p07_n071 / p08_n079,6-8,BH-327,BH-327,,,descartar,Imagen del proveedor con texto sobreimpreso,,,,
p06_n061 (hoja completa),6,BH-327,BH-327,,,descartar,Ficha completa con texto; solo se usan recortes fotograficos,,,,
p07_n072 (obj189),7,BH-153,BH-153,,lifestyle,conservar,Hero aprobado del catalogo,bh-153-hero.webp,assets/images/products/bh-153/bh-153-hero.webp,55% 45%,
p07_n075,7,BH-153,BH-153,Azul,variante,conservar,Variante azul,bh-153-azul.webp,assets/images/products/bh-153/bh-153-azul.webp,50% 50%,
p07_n076,7,BH-153,BH-153,Rosa,variante,conservar,Variante rosa,bh-153-rosa.webp,assets/images/products/bh-153/bh-153-rosa.webp,50% 50%,
p07_n073,7,BH-153,BH-153,,detalle,conservar,Detalle de escalon,bh-153-estructura.webp,assets/images/products/bh-153/bh-153-estructura.webp,50% 50%,
p07_n074,7,BH-153,BH-153,,detalle,conservar,Ajuste de altura,bh-153-ajuste.webp,assets/images/products/bh-153/bh-153-ajuste.webp,50% 50%,
p08_n080 (obj219),8,BH-810,BH-810,,lifestyle,conservar,Hero aprobado del catalogo,bh-810-hero.webp,assets/images/products/bh-810/bh-810-hero.webp,50% 50%,
p08_n081,8,BH-810,BH-810,,producto,conservar,Inclinacion ergonomica,bh-810-perfil.webp,assets/images/products/bh-810/bh-810-perfil.webp,50% 50%,
p08_n082,8,BH-810,BH-810,,detalle,conservar,Botones con sonido,bh-810-botones.webp,assets/images/products/bh-810/bh-810-botones.webp,50% 50%,
p08_n083,8,BH-810,BH-810,,detalle,conservar,Giros 360 grados,bh-810-giro.webp,assets/images/products/bh-810/bh-810-giro.webp,50% 50%,
p08_n084,8,BH-810,BH-810,,detalle,conservar,Llantas PU,bh-810-llanta.webp,assets/images/products/bh-810/bh-810-llanta.webp,50% 50%,
p09_n094 (obj267),9,BH-221,BH-221,,lifestyle,conservar,Hero aprobado del catalogo,bh-221-hero.webp,assets/images/products/bh-221/bh-221-hero.webp,50% 45%,
p09_n088 (recorte der.),9,BH-221,BH-221,,producto,conservar,Respaldo comodo,bh-221-respaldo.webp,assets/images/products/bh-221/bh-221-respaldo.webp,50% 50%,
p09_n092,9,BH-221,BH-221,,detalle,conservar,Termometro digital,bh-221-termometro.webp,assets/images/products/bh-221/bh-221-termometro.webp,50% 50%,
p09_n093,9,BH-221,BH-221,,detalle,conservar,Plegable y compacta,bh-221-plegada.webp,assets/images/products/bh-221/bh-221-plegada.webp,50% 50%,
p09_n088 (recorte izq.),9,BH-221,BH-221,,,descartar,La banera aislada muestra la marca impresa de un tercero en el producto,,,,
p10_n097 (obj280),10,BH-515,BH-515,,lifestyle,conservar,Hero aprobado del catalogo,bh-515-hero.webp,assets/images/products/bh-515/bh-515-hero.webp,50% 45%,
p10_n098 (recorte izq.),10,BH-515,BH-515,,producto,conservar,Asiento amplio,bh-515-abierta.webp,assets/images/products/bh-515/bh-515-abierta.webp,50% 50%,
p10_n098 (recorte der.),10,BH-515,BH-515,,producto,conservar,Plegado compacto,bh-515-plegada.webp,assets/images/products/bh-515/bh-515-plegada.webp,50% 50%,
p10_n102,10,BH-515,BH-515,,detalle,conservar,Charola removible,bh-515-charola.webp,assets/images/products/bh-515/bh-515-charola.webp,50% 50%,
p10_n101,10,BH-515,BH-515,,lifestyle,conservar,Traslado plegado,bh-515-transporte.webp,assets/images/products/bh-515/bh-515-transporte.webp,50% 50%,
p10_n100,10,BH-515,BH-515,,,descartar,Imagen del proveedor con texto en chino,,,,
p01/p02/p11 fondos y filetes,"1,2,11",-,-,,,descartar,"Elementos graficos de fondo del PDF, sin valor fotografico",,,,
